# Set empty fields to NA
Category;Fuel;Segment;Euro Standard;Concept;Pollutant;EF_ug_km
############################################################################
### NH3 lightweight
# Passenger Cars; Petrol; Mini
Passenger Cars;Petrol;Mini;Euro 4;NA;NH3 lightweight;0.0339e6
Passenger Cars;Petrol;Mini;Euro 5;NA;NH3 lightweight;0.0123e6
Passenger Cars;Petrol;Mini;Euro 6 up to 2016;NA;NH3 lightweight;0.0123e6
Passenger Cars;Petrol;Mini;Euro 6 2017-2019;NA;NH3 lightweight;0.0123e6
Passenger Cars;Petrol;Mini;Euro 6 2020+;NA;NH3 lightweight;0.0123e6
# Passenger Cars; Petrol; Small
Passenger Cars;Petrol;Small;PRE ECE;NA;NH3 lightweight;0.0020e6
Passenger Cars;Petrol;Small;ECE 15/00-01;NA;NH3 lightweight;0.0020e6
Passenger Cars;Petrol;Small;ECE 15/02;NA;NH3 lightweight;0.0020e6
Passenger Cars;Petrol;Small;ECE 15/03;NA;NH3 lightweight;0.0020e6
Passenger Cars;Petrol;Small;ECE 15/04;NA;NH3 lightweight;0.0020e6
Passenger Cars;Petrol;Small;Open Loop;NA;NH3 lightweight;0.0020e6
Passenger Cars;Petrol;Small;Euro 1;NA;NH3 lightweight;0.0922e6
Passenger Cars;Petrol;Small;Euro 2;NA;NH3 lightweight;0.1043e6
Passenger Cars;Petrol;Small;Euro 3;NA;NH3 lightweight;0.0342e6
Passenger Cars;Petrol;Small;Euro 4;NA;NH3 lightweight;0.0341e6
Passenger Cars;Petrol;Small;Euro 5;NA;NH3 lightweight;0.0123e6
Passenger Cars;Petrol;Small;Euro 6 up to 2016;NA;NH3 lightweight;0.0123e6
Passenger Cars;Petrol;Small;Euro 6 2017-2019;NA;NH3 lightweight;0.0123e6
Passenger Cars;Petrol;Small;Euro 6 2020+;NA;NH3 lightweight;0.0123e6
# Passenger Cars; Petrol; Medium
Passenger Cars;Petrol;Medium;PRE ECE;NA;NH3 lightweight;0.0020e6
Passenger Cars;Petrol;Medium;ECE 15/00-01;NA;NH3 lightweight;0.0020e6
Passenger Cars;Petrol;Medium;ECE 15/02;NA;NH3 lightweight;0.0020e6
Passenger Cars;Petrol;Medium;ECE 15/03;NA;NH3 lightweight;0.0020e6
Passenger Cars;Petrol;Medium;ECE 15/04;NA;NH3 lightweight;0.0020e6
Passenger Cars;Petrol;Medium;Open Loop;NA;NH3 lightweight;0.0020e6
Passenger Cars;Petrol;Medium;Euro 1;NA;NH3 lightweight;0.0922e6
Passenger Cars;Petrol;Medium;Euro 2;NA;NH3 lightweight;0.1043e6
Passenger Cars;Petrol;Medium;Euro 3;NA;NH3 lightweight;0.0342e6
Passenger Cars;Petrol;Medium;Euro 4;NA;NH3 lightweight;0.0342e6
Passenger Cars;Petrol;Medium;Euro 5;NA;NH3 lightweight;0.0123e6
Passenger Cars;Petrol;Medium;Euro 6 up to 2016;NA;NH3 lightweight;0.0123e6
Passenger Cars;Petrol;Medium;Euro 6 2017-2019;NA;NH3 lightweight;0.0123e6
Passenger Cars;Petrol;Medium;Euro 6 2020+;NA;NH3 lightweight;0.0123e6
# Passenger Cars; Petrol; Large-SUV-Executive
Passenger Cars;Petrol;Large-SUV-Executive;PRE ECE;NA;NH3 lightweight;0.0020e6
Passenger Cars;Petrol;Large-SUV-Executive;ECE 15/00-01;NA;NH3 lightweight;0.0020e6
Passenger Cars;Petrol;Large-SUV-Executive;ECE 15/02;NA;NH3 lightweight;0.0020e6
Passenger Cars;Petrol;Large-SUV-Executive;ECE 15/03;NA;NH3 lightweight;0.0020e6
Passenger Cars;Petrol;Large-SUV-Executive;ECE 15/04;NA;NH3 lightweight;0.0020e6
Passenger Cars;Petrol;Large-SUV-Executive;Open Loop;NA;NH3 lightweight;0.0020e6
Passenger Cars;Petrol;Large-SUV-Executive;Euro 1;NA;NH3 lightweight;0.0922e6
Passenger Cars;Petrol;Large-SUV-Executive;Euro 2;NA;NH3 lightweight;0.1043e6
Passenger Cars;Petrol;Large-SUV-Executive;Euro 3;NA;NH3 lightweight;0.0342e6
